sentence,entity1,entity1_label,entity1_start,entity1_end,entity2,entity2_label,entity2_start,entity2_end,relation
"A child belongs to the clan and village community of village mother , and wealth , as well as social position , are inherited , not from father to son , but from maternal uncle to nephew .",child,PERSON,94466,94474,the clan,ORG,,,belongs_to
"In olden days , the chief of Omarakana had up to as many as forty consorts , and received perhaps as much as thirty to fifty per cent .",chief,PERSON,116987,116992,Omarakana,LOCATION,116996,117005,belongs_to
"In the southern part of Boyowa , there is first the province of Luba , occupying the waist of the island , the part where waist narrows down to a long isthmus .",Boyowa,GPE,126544,126550,Luba,LOCATION,126584,126588,belongs_to
"In the West of the big , Northern half of Boyowa ( that is of the main island of the Trobriand Group ) are again two districts , in past times often at war with one another .",Boyowa,PERSON,123897,123903,the Trobriand Group,LOCATION,123936,123955,belongs_to
"One of districts is the Eastern portion of the Northern Massim , comprising the Marshall Bennett Islands ( Kitava , Iwa , Gawa , Kwayawata ) , and Woodlark Island ( Murua ) , with the small group of Nada Islands .",Marshall Bennet Islands,ORG,151393,151400,Northern Massim,NORP,151445,151473,belongs_to
"One of the totemic clans , the Malasi , includes the most aristocratic sub - clan , the Tabalu , as well as the lowest one , the local division of the Malasi in Bwoytalu .",the Tabalu,NORP,133457,133463,the Malasi,NORP,,,belongs_to
"The flying witches , so characteristic of the Eastern New Guinea type of culture , here have one of witches strongholds .",flying witches,MYTHICAL_BEING,67583,67593,Eastern New Guinea,LOCATION,,,belongs_to
"The highest sub - clan is that of the Tabalu , belonging to the Malasi totem clan .",Tabalu,NORP,114992,114998,Malasi,LOCATION,115018,115024,belongs_to
"The highest sub - clan is that of the Tabalu , belonging to the Malasi totem clan .",Tabalu,NORP,114992,114998,Malasi,LOCATION,115018,115024,belongs_to
"The most important chief is , as said , the one who resides in Omarakana and rules Kiriwina , agriculturally the richest and most important district .",chief,PERSON,121973,121978,Omarakana,LOCATION,122017,122026,belongs_to
These are the yam houses of the chief or of persons of rank .,yam houses,PERSON,96201,96206,chief,PERSON,,,belongs_to
"To this sub - clan belongs the main chief of Kiriwina , To'uluwa , who resides in the village of Omarakana ( see Plate II and Frontispiece ) .",chief,PERSON,115074,115079,Omarakana,GPE,115135,115144,belongs_to
"It is very interesting to note that the tauva'u are believed to come from the Northern coast of Normanby Island , from the district of Du'a'u , and more especially from a place called Sewatupa .",tauva'u,MYTHICAL_BEING,149066,149084,Northern coast of Normanby Island,LOCATION,149088,149103,come_from
