sentence,entity1,entity1_label,entity2,entity2_label,relation
"The tribes who live within the sphere of the Kula system of trading belong, one and all--with the exception perhaps, of the Rossel Island natives, of whom we know next to nothing--to the same racial group.",Kula,EVENT,Rossel Island,LOC,
"These tribes inhabit the easternmost end of the mainland of New Guinea and those islands, scattered in the form of the long-drawn archipelago, which continue in the same south-easternly trend as the mainland, as if to bridge over the gap between New Guinea and the Solomons.",New Guinea,GPE,New Guinea,GPE,
"These tribes inhabit the easternmost end of the mainland of New Guinea and those islands, scattered in the form of the long-drawn archipelago, which continue in the same south-easternly trend as the mainland, as if to bridge over the gap between New Guinea and the Solomons.",New Guinea,GPE,Solomons,PERSON,
"These tribes inhabit the easternmost end of the mainland of New Guinea and those islands, scattered in the form of the long-drawn archipelago, which continue in the same south-easternly trend as the mainland, as if to bridge over the gap between New Guinea and the Solomons.",New Guinea,GPE,Solomons,PERSON,
"New Guinea is a mountainous island-continent, very difficult of access in its interior, and also at certain portions of the coast, where barrier reefs, swamps and rocks practically prevent landing or even approach for native craft.",New Guinea,GPE,,,
Such a country would obviously not offer the same opportunities in all its parts to the drifting migrations which in all probability are responsible for the composition of the present population of the South Seas.,the South Seas,LOC,,,
The actual distribution of races in New Guinea completely justifies these hypotheses.,New Guinea,GPE,,,
Map II shows the Eastern part of the main island and archipelagoes of New Guinea and the racial distribution of the natives.,Eastern,ORG,New Guinea,GPE,
"The interior of the continent, the low sago swamps and deltas of the Gulf of Papua--probably the greater part of the North Coast and of the South-West Coast of New Guinea, are inhabited by a ""relatively tall, dark-skinned, frizzly-haired"" race, called by Dr. Seligman Papuan, and in the hills more especially by pygmy tribes.",sago,OBJECT,the Gulf of Papua,FAC,
"The interior of the continent, the low sago swamps and deltas of the Gulf of Papua--probably the greater part of the North Coast and of the South-West Coast of New Guinea, are inhabited by a ""relatively tall, dark-skinned, frizzly-haired"" race, called by Dr. Seligman Papuan, and in the hills more especially by pygmy tribes.",sago,OBJECT,the North Coast,LOC,
"The interior of the continent, the low sago swamps and deltas of the Gulf of Papua--probably the greater part of the North Coast and of the South-West Coast of New Guinea, are inhabited by a ""relatively tall, dark-skinned, frizzly-haired"" race, called by Dr. Seligman Papuan, and in the hills more especially by pygmy tribes.",sago,OBJECT,the South-West Coast,LOC,
"The interior of the continent, the low sago swamps and deltas of the Gulf of Papua--probably the greater part of the North Coast and of the South-West Coast of New Guinea, are inhabited by a ""relatively tall, dark-skinned, frizzly-haired"" race, called by Dr. Seligman Papuan, and in the hills more especially by pygmy tribes.",sago,OBJECT,frizzly,GPE,
"The interior of the continent, the low sago swamps and deltas of the Gulf of Papua--probably the greater part of the North Coast and of the South-West Coast of New Guinea, are inhabited by a ""relatively tall, dark-skinned, frizzly-haired"" race, called by Dr. Seligman Papuan, and in the hills more especially by pygmy tribes.",sago,OBJECT,Seligman Papuan,PERSON,
