sentence,entity1,entity1_label,entity2,entity2_label,relation
"The Ethnographer has in the field , according to what has just been said , the duty before Ethnographer of drawing up all the rules and regularities of tribal life ; all that is permanent and fixed ; of giving an anatomy of all culture , of depicting the constitution of all society .",Ethnographer,ORG,,,
"This expedient for an Ethnographer consists in collecting concrete data of evidence , and drawing the general inferences for Ethnographer .",Ethnographer,ORG,,,
"This seems obvious on the face of expedient , but was not found out or at least practised in Ethnography till field work was taken up by men of science .",Ethnography,LOC,,,
"To return to our example , a number of definite cases discussed will reveal to the Ethnographer the social machinery for punishment .",Ethnographer,ORG,,,
"In fact , I spent a few months between my first and second expeditions , and over a year between that and the subsequent one , in going over all my material , and making parts of year almost ready for publication each time , though each time I knew I would have to re - write year .",a few months,DATE,year,DATE,
"In fact , I have written up an outline of the Kula institution at least half a dozen times while in the field and in the intervals between my expeditions .",Kula,EVENT,,,
"Practised already by the best early writers , such as Munzinger , and , if I remember rightly , Kubary , this method has been developed to method fullest extent in the works of Dr. Rivers .",Munzinger,PRODUCT,Kubary,PERSON,
"Again , studying the concrete data of economic transactions , in order to trace the history of a valuable object , and to gauge the nature of principle circulation , the principle of completeness and thoroughness would lead to construct tables of transactions , such as we find in the work of Professor Seligman .",Seligman,PERSON,,,
It is in following Professor Seligman 's example in this matter that I was able to settle certain of the more difficult and detailed rules of the Kula .,Seligman,PERSON,Kula,EVENT,
"All types of economic transactions may be studied by following up connected , actual cases , and putting cases into a synoptic chart ; again , a table ought to be drawn up of all the gifts and presents customary in a given society , a table including the sociological , ceremonial , and economic definition of every item .",gifts,OBJECT,,,
"The answer to my abstract problem could then be obtained by drawing a general inference from all the cases , and the procedure is illustrated in Chapters XVII and XVIII .",Chapters XVII,ORG,XVIII,PERSON,
"Returning once more to the question of methodological candour , discussed previously in Division II I wish to point out here , that the procedure of concrete and tabularised presentation of data ought to be applied first to the Ethnographer 's own credentials .",Division II,EVENT,Ethnographer,PERSON,
The Table on the next page will serve as an example of this procedure and help the reader of this book to form an idea of the trustworthiness of any statement reader is specially anxious to check .,Table,ORG,,,
"With the help of this Table and the many references scattered throughout the text , as to how , under what circumstances , and with what degree of accuracy I arrived at a given item of knowledge , there will , I hope remain no obscurity whatever as to the sources of the book .",Table,ORG,,,
"CHRONOLOGICAL LIST OF KULA EVENTS WITNESSED BY THE WRITER First Expedition , August , 1914 - March , 1915 .",THE WRITER First Expedition,ORG,August,DATE,
